TURNO;LINHA;TIPO DE VIAGEM;BAIRRO;PONTO DE PASSAGEM;PARADA
ADM;LINHA 14;VOLTA;MAIOBINHA;AV NORTE INTERNA;PANIFICADORO TIANA
ADM;LINHA 14;VOLTA;MAIOBINHA;AV NORTE INTERNA;ECO PONTO
ADM;LINHA 14;VOLTA;CIDADE OPERARIA - 101;R. 101;ESCOLA ROSA DE SAROM
ADM;LINHA 14;VOLTA;CIDADE OPERARIA - 101;R. 101;PANIFICADORA BRASIL
ADM;LINHA 14;VOLTA;CIDADE OPERARIA - 101;AV NORTE EXTERNA;EM FRENTE AO ATACADÃO DA MADEIRAS
ADM;LINHA 14;VOLTA;JARDIM TROPICAL;AV TANCREDO NEVES;POSTO DE COMBUSTIVEL
ADM;LINHA 14;VOLTA;JARDIM TROPICAL;AV TANCREDO NEVES;EM FRENTE AO MATEUS
ADM;LINHA 14;VOLTA;JARDIM TROPICAL;R. RIO GRANDE DO SUL;CODOMINIO SÃO JOSE V
ADM;LINHA 14;VOLTA;JARDIM TROPICAL;AV. PARAISO;VIVA
ADM;LINHA 14;VOLTA;JARDIM TROPICAL;AV. PARAISO;PONTO FINAL DAS VANS 
